bin_left,bin_right,cover_count,stego_count
0.0,0.025,10,26
0.025,0.05,3,10
0.05,0.07500000000000001,0,5
0.07500000000000001,0.1,0,4
0.1,0.125,5,6
0.125,0.15000000000000002,2,8
0.15000000000000002,0.17500000000000002,2,3
0.17500000000000002,0.2,1,1
0.2,0.225,4,2
0.225,0.25,0,3
0.25,0.275,1,1
0.275,0.30000000000000004,2,3
0.30000000000000004,0.325,1,2
0.325,0.35000000000000003,0,4
0.35000000000000003,0.375,2,6
0.375,0.4,0,5
0.4,0.42500000000000004,4,8
0.42500000000000004,0.45,5,17
0.45,0.47500000000000003,19,71
0.47500000000000003,0.5,7343,22024
0.5,0.525,15,39
0.525,0.55,3,19
0.55,0.5750000000000001,6,21
0.5750000000000001,0.6000000000000001,8,25
0.6000000000000001,0.625,5,11
0.625,0.65,2,6
0.65,0.675,8,13
0.675,0.7000000000000001,6,15
0.7000000000000001,0.7250000000000001,3,11
0.7250000000000001,0.75,1,7
0.75,0.775,0,4
0.775,0.8,3,6
0.8,0.8250000000000001,1,2
0.8250000000000001,0.8500000000000001,3,9
0.8500000000000001,0.875,2,8
0.875,0.9,2,7
0.9,0.925,5,10
0.925,0.9500000000000001,5,13
0.9500000000000001,0.9750000000000001,3,17
0.9750000000000001,1.0,15,48
