epoch,train_loss,train_acc,val_loss,val_acc,val_wauc,started_at,train_seconds,validation_seconds,epoch_elapsed_seconds,stage_elapsed_seconds,learning_rate,trainable_parameter_count,frozen_parameter_count,selected_best_state
1,0.347998567044735,0.5092083333333334,0.34769229650497435,0.5686666666666667,0.5882692063492064,2026-07-21T15:50:18.124991+00:00,106.9069473510026,6.944035216001794,113.8516448090013,113.85235565599942,0.0001,98865,0,True
2,0.34729093313217163,0.4957083333333333,0.34669053506851194,0.465,0.588818201058201,2026-07-21T15:52:12.168142+00:00,108.62836345699907,5.400407347999135,114.02931303700097,227.90326346499933,0.0001,98865,0,True
3,0.347059754550457,0.5147083333333333,0.34672849988937376,0.38666666666666666,0.5879157671957672,2026-07-21T15:54:05.657869+00:00,108.30441247000272,5.180066031000024,113.48498573300094,341.4002563799986,0.0001,98865,0,False
4,0.3470076057910919,0.4734583333333333,0.3465879454612732,0.4736666666666667,0.5892537566137567,2026-07-21T15:55:59.896907+00:00,108.55127204699966,5.690722643001209,114.2424025170003,455.6431202249987,0.0001,98865,0,True
5,0.3468668101429939,0.5277083333333333,0.3467415332794189,0.4493333333333333,0.5843310052910052,2026-07-21T15:57:55.783070+00:00,109.80570931500188,6.075913258999208,115.88235732500107,571.5407488359997,0.0001,98865,0,False
6,0.3468997769355774,0.46941666666666665,0.3466161296367645,0.42033333333333334,0.5885206349206349,2026-07-21T15:59:49.589487+00:00,108.2966325410016,5.523840723999456,113.82097982500272,685.3621742670002,0.0001,98865,0,False
7,0.3467589401006699,0.469875,0.3465756945610046,0.63,0.5882256084656085,2026-07-21T16:01:43.666830+00:00,108.99115649600208,5.09017823600152,114.08170126200275,799.4447255560008,0.0001,98865,0,False
8,0.3467967261075974,0.5455416666666667,0.34659271359443666,0.5616666666666666,0.5886503703703704,2026-07-21T16:03:36.865377+00:00,107.76178570800039,5.441024122999806,113.20328466800129,912.648462961999,0.0001,98865,0,False
9,0.34673242312669755,0.5025833333333334,0.34667066192626955,0.31966666666666665,0.586085925925926,2026-07-21T16:05:32.084205+00:00,109.26921213199967,5.955301923000661,115.22493589200167,1027.8742597220007,0.0001,98865,0,False
10,0.3468367552161217,0.5439583333333333,0.3466577343940735,0.37166666666666665,0.5856948148148148,2026-07-21T16:07:28.280946+00:00,110.58165555400046,5.614859010001965,116.19688979700004,1144.0733185190002,0.0001,98865,0,False
11,0.34671806144714357,0.48170833333333335,0.3465888876914978,0.7493333333333333,0.5887506878306878,2026-07-21T16:09:25.109400+00:00,111.00704459700137,5.825276273000782,116.83270620199983,1260.906577968999,0.0001,98865,0,False
12,0.34675636583566666,0.5602916666666666,0.34658015370368955,0.316,0.5890967195767196,2026-07-21T16:11:20.327346+00:00,109.71683133800252,5.5054932050006755,115.22268847300074,1376.129730880999,0.0001,98865,0,False
13,0.3466925044059753,0.4365833333333333,0.34657748222351076,0.43733333333333335,0.5884279365079366,2026-07-21T16:13:16.723491+00:00,110.09702887099775,6.293326719998731,116.39074772299864,1492.5323916989983,0.0001,98865,0,False
14,0.346645345389843,0.5109583333333333,0.3466073825359344,0.5476666666666666,0.5879951322751323,2026-07-21T16:15:10.858489+00:00,108.96456592899995,5.170848294001189,114.13586425900212,1606.6806415669998,0.0001,98865,0,False
